id,ip,port,service,version,cvss,cve,epss,exposition,criticite,donnees,description,kev
V01,10.0.0.10,443,OpenSSL,1.0.1,10.0,CVE-2014-0160,0.97,Internet,Critique,Sensible,Heartbleed — fuite mémoire SSL pouvant exposer clés privées et données clients,1
V02,10.0.0.10,80,Apache,2.4.49,9.8,CVE-2021-41773,0.96,Internet,Critique,Sensible,Path traversal et RCE sans authentification sur Apache 2.4.49,1
V03,10.0.0.10,22,OpenSSH,7.4,7.8,CVE-2018-15473,0.12,Internet,Critique,Sensible,Enumération des noms d'utilisateurs valides via timing SSH,0
V04,10.0.0.10,8443,Node.js,14.0,8.1,CVE-2021-22931,0.08,Internet,Critique,Sensible,Corruption mémoire dans le runtime Node.js — potentiel RCE,0
V05,10.0.0.15,5432,PostgreSQL,12.3,10.0,-,0.45,Interne,Critique,Sensible,Compte postgres sans mot de passe — accès root à la base de données de paiement,0
V06,10.0.0.15,5432,PostgreSQL,12.3,8.8,CVE-2019-10164,0.09,Interne,Critique,Sensible,Dépassement de tampon dans pg_dump — escalade de privilèges possible,0
V07,10.0.0.15,5432,PostgreSQL,12.3,6.5,CVE-2020-25695,0.04,Interne,Critique,Sensible,Injection SQL via ALTER TABLE — nécessite compte authentifié,0
V08,10.0.0.20,80,Nginx,1.14,7.5,CVE-2019-20372,0.06,Internet,Élevée,Interne,Lecture de fichiers hors racine web via requêtes HTTP malformées,0
V09,10.0.0.20,443,Nginx,1.14,5.3,CVE-2022-41741,0.03,Internet,Élevée,Interne,Corruption mémoire dans le module mp4 — déni de service,0
V10,10.0.0.20,22,OpenSSH,7.4,7.8,CVE-2018-15473,0.12,Internet,Élevée,Interne,Enumération des noms d'utilisateurs valides via timing SSH,0
V11,10.0.0.25,8080,Keycloak,12.0,9.8,CVE-2021-3461,0.14,DMZ,Critique,Sensible,Contournement d'authentification SSO via token mal validé,0
V12,10.0.0.25,8080,Keycloak,12.0,8.1,CVE-2020-1714,0.09,DMZ,Critique,Sensible,Injection de code côté serveur via template Freemarker,0
V13,10.0.0.25,8443,Keycloak,12.0,6.1,CVE-2022-2668,0.02,DMZ,Critique,Sensible,XSS stocké dans la console d'administration Keycloak,0
V14,10.0.0.30,80,Apache,2.4.29,9.8,CVE-2021-41773,0.96,Interne,Élevée,Interne,Path traversal RCE — même version vulnérable que le serveur de production,1
V15,10.0.0.30,80,Apache,2.4.29,7.5,CVE-2017-7679,0.07,Interne,Élevée,Interne,Dépassement de tampon dans mod_mime — déni de service ou RCE,0
V16,10.0.0.30,3306,MySQL,5.7,8.8,CVE-2016-6662,0.11,Interne,Élevée,Interne,Injection SQL permettant l'exécution de commandes système en root,0
